"Rk","Team","Age","W","L","PW","PL","MOV","SOS","SRS","ORtg","DRtg","NRtg","Pace","FTr","X3PAr","TS.","eFG.","TOV.","ORB.","FT.FGA","eFG..1","TOV..1","DRB.","FT.FGA.1","Arena","Attend.","Attend..G","yr","tm_yr","rank","rank_1","rank_2","rank_3","rank_4","rank_5","rank_6","rank_7"
20,"Minnesota Timberwolves",26.2,36,46,37,45,-1.5,0.48,-1.02,111.4,112.9,-1.5,100.2,0.267,0.315,0.552,0.511,11.4,24.6,0.21,0.538,12.9,74.9,0.19,"Target Center",627543,15306,2019,"Minnesota Timberwolves_2019",10,NA,NA,NA,NA,NA,NA,NA
21,"New Orleans Pelicans",25.7,33,49,38,44,-1.33,0.23,-1.1,111.4,112.6,-1.2,103.3,0.254,0.324,0.563,0.529,12.6,24.1,0.193,0.532,11.6,76.8,0.193,"Smoothie King Center",656183,16004,2019,"New Orleans Pelicans_2019",8,NA,NA,NA,NA,NA,NA,NA
22,"Charlotte Hornets",26.6,39,43,38,44,-1.1,-0.22,-1.32,111.4,112.5,-1.1,98.7,0.257,0.378,0.554,0.514,10.9,21.7,0.205,0.538,12.1,77.1,0.179,"Spectrum Center",676570,16502,2019,"Charlotte Hornets_2019",13,NA,NA,NA,NA,NA,NA,NA
23,"Los Angeles Lakers",26.2,37,45,37,45,-1.72,0.39,-1.33,107.8,109.5,-1.7,103.2,0.257,0.342,0.554,0.527,13.4,22.2,0.18,0.516,12.2,76.4,0.192,"STAPLES Center",778877,18997,2019,"Los Angeles Lakers_2019",11,NA,NA,NA,NA,NA,NA,NA
24,"Memphis Grizzlies",27.7,33,49,34,48,-2.6,0.51,-2.08,106.1,108.8,-2.7,96.6,0.272,0.342,0.548,0.508,12.9,20,0.21,0.521,13.9,77.6,0.232,"FedEx Forum",638332,15569,2019,"Memphis Grizzlies_2019",8,NA,NA,NA,NA,NA,NA,NA
25,"Washington Wizards",26.5,32,50,34,48,-2.9,-0.4,-3.3,111.1,113.9,-2.8,101.4,0.266,0.37,0.567,0.531,12.3,21.3,0.204,0.546,13.5,74.1,0.199,"Capital One Arena",716996,17448,2019,"Washington Wizards_2019",6,NA,NA,NA,NA,NA,NA,NA
26,"Atlanta Hawks",25.1,29,53,27,55,-6.02,-0.04,-6.06,108.1,113.9,-5.8,103.9,0.255,0.403,0.555,0.522,14.3,24.7,0.192,0.541,12.8,76.4,0.237,"State Farm Arena",628440,15328,2019,"Atlanta Hawks_2019",5,NA,NA,NA,NA,NA,NA,NA
27,"Chicago Bulls",24,22,60,21,61,-8.41,0.1,-8.32,104.8,113.2,-8.4,99,0.235,0.295,0.541,0.505,12.7,19.4,0.184,0.541,11.9,77.3,0.188,"United Center",823475,20085,2019,"Chicago Bulls_2019",4,NA,NA,NA,NA,NA,NA,NA
28,"Phoenix Suns",24,19,63,19,63,-9.34,0.73,-8.61,105.9,115.1,-9.2,100.5,0.259,0.335,0.552,0.514,13.8,20.5,0.202,0.545,13.5,72.5,0.236,"Talking Stick Resort Arena",627023,15293,2019,"Phoenix Suns_2019",2.5,NA,NA,NA,NA,NA,NA,NA
29,"New York Knicks",23.4,17,65,19,63,-9.21,0.28,-8.93,104.5,113.7,-9.2,99.6,0.27,0.334,0.529,0.49,12.4,22.1,0.205,0.533,11.7,76.1,0.203,"Madison Square Garden (IV)",779087,19002,2019,"New York Knicks_2019",1,NA,NA,NA,NA,NA,NA,NA
30,"Cleveland Cavaliers",25.2,19,63,19,63,-9.61,0.22,-9.39,107.7,117.6,-9.9,96.6,0.236,0.332,0.54,0.503,12.2,23.7,0.187,0.564,11.5,77,0.181,"Quicken Loans Arena",793337,19350,2019,"Cleveland Cavaliers_2019",2.5,NA,NA,NA,NA,NA,NA,NA
